Location,Experiment,Date,IR.mday,Surface.NO3,Surface.NO2,Surface.NH4,Surface.DOC,Depth.NO3,Depth.NO2,Depth.NH4,Depth.DOC,Depth.cm,C,N,Pct.Clay,Pct.Silt,Pct.Sand,d.10,d.50,d.90,N.Rmv,Frac.Rmv,Load.Red,Load.Red.Norm,RT.Days,NO3.Rmv,NO3.Frac.Rmv,NO3.Load.Red
KTR,Perc,7/18/16,0.220,23.930,0.000,0.000,1.940,23.410,0.000,0.000,4.620,80.000,0.567,0.053,18.443,29.163,52.394,2.146,58.544,258.334,0.520,0.022,0.114,0.005,3.638,0.520,0.022,0.114
KTR,Perc,7/19/16,0.214,25.840,0.000,0.000,2.260,24.570,0.000,0.080,2.700,80.000,0.567,0.053,18.443,29.163,52.394,2.146,58.544,258.334,1.200,0.046,0.256,0.011,3.734,1.270,0.049,0.272
KTR,Perc,7/20/16,0.204,23.040,0.000,0.000,2.340,20.680,0.000,0.000,2.620,80.000,0.567,0.053,18.443,29.163,52.394,2.146,58.544,258.334,2.360,0.102,0.482,0.021,3.920,2.360,0.102,0.481
KTR,Perc,7/21/16,0.201,23.250,0.000,0.000,1.890,22.860,0.000,0.000,2.610,80.000,0.567,0.053,18.443,29.163,52.394,2.146,58.544,258.334,0.390,0.017,0.078,0.003,3.982,0.390,0.017,0.078
KTR,Perc,7/22/16,0.194,23.990,0.000,0.000,1.700,22.360,0.000,0.000,1.240,80.000,0.567,0.053,18.443,29.163,52.394,2.146,58.544,258.334,1.640,0.068,0.318,0.013,4.118,1.630,0.068,0.316
KTR,Perc,7/24/16,0.180,24.380,0.000,0.000,1.940,24.740,0.000,0.000,2.280,80.000,0.567,0.053,18.443,29.163,52.394,2.146,58.544,258.334,-0.360,-0.015,-0.065,-0.003,4.456,-0.360,-0.015,-0.065
KTR,Col,7/20/17,0.210,30.990,0.010,0.020,27.680,28.380,0.020,0.040,29.790,90.000,0.574,0.050,21.327,34.473,44.201,1.730,40.948,218.353,2.580,0.083,0.542,0.018,4.286,2.610,0.084,0.548
KTR,Col,7/24/17,0.180,31.290,0.010,0.040,28.130,29.790,0.010,0.030,28.820,90.000,0.574,0.050,21.327,34.473,44.201,1.730,40.948,218.353,1.510,0.048,0.271,0.009,5.000,1.500,0.048,0.270
KTR,Col,7/25/17,0.180,31.090,0.010,0.040,26.300,28.670,0.030,0.030,30.190,90.000,0.574,0.050,21.327,34.473,44.201,1.730,40.948,218.353,2.410,0.078,0.435,0.014,5.000,2.420,0.078,0.436
KTR,Col,7/26/17,0.180,31.790,0.010,0.080,23.530,28.980,0.020,0.050,26.880,90.000,0.574,0.050,21.327,34.473,44.201,1.730,40.948,218.353,2.830,0.089,0.509,0.016,5.000,2.810,0.088,0.506
